Product Name,Image URL,Sizes
Match T-Shirt (Junior),https://apx-performance.com/wp-content/uploads/2023/11/Core-Kit-1-Sponsor-1024x1024.jpg,"YXXS,YXS,YS,YM,YL,XS"
Match Shirt (Long Sleeve) (Junior),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyZlA6unCug3EashKUyNxmryN3ey-qUDAj0g&s,"YXXS,YXS,YS,YM,YL,XS"
Training T-Shirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/07/Sub-T-Shirt-Front.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Polo Shirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/06/Wednesfield-FCWarrior-Polo-2.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Leisure T-Shirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/03/Workington-FalconsWarrior-T-Shirt-1.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Crew Neck Training Sweatshirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/Desford-FCVanguard-Sweatshirt.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
1/4 Zip Sweatshirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/Wheaton-AstonWarrior-Quarter-Zip-1.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Full Zip Tracksuit Top (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/Ludlow-TownCenturion-Fulll-Zip.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Zipped Hoodie (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/WixamsZipped-Hoodie.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Match Shorts (Junior),https://apx-performance.com/wp-content/uploads/2023/11/Royal-Shorts-2-1024x1024.jpg,"YXXS,YXS,YS,YM,YL,XS"
Training Shorts (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/02/Withernsea-25True-Colour-Short.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Leisure Shorts (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/04/Newc-Thunder-25SPARTAN-WHITE-Shorts.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Track Pants (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2025/02/Cram-RocketsTrackpants.jpg?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Match Socks (Junior),https://apx-performance.com/wp-content/uploads/2023/11/Royal.png,"12,1,2,3,4,5,6"
Hoodie (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/06/APXHoodies-Black.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Training Socks (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2021/09/White-Training-Sock.png?media=1716291787,"12,1,2,3,4,5,6"
Training Glove (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2023/01/APX-Black-Glove-Back.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
Draw String Gym Bag,https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2023/03/Black-Draw-String.png?media=1716291787,
WARRIOR Zipped Hoodie (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-Zoodie.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
WARRIOR Full Zip Track Top (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-TrackTop.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
WARRIOR 1/4 Zip Sweatshirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-QZip.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
WARRIOR Hoodie (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-Hoodie.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
WARRIOR Crew Neck Training Sweatshirt (Junior),https://usercontent.one/wp/apx-performance.com/wp-content/uploads/2022/05/WarriorRange-Sweatshirt.png?media=1716291787,"YXXS,YXS,YS,YM,YL,XS"
